order_id,customer_name,product_category,price,quantity,order_date
ORD-002001,  Allison Hill  ,Home & Kitchen,$252.44,5,2026-05-02
ORD-002002,Brian Yang,Electronics,$102.76,5,2026-07-03
ORD-002003,Javier Johnson,Beauty,425.32,1,2026-05-01
ORD-002004,  Lance Hoffman  ,Books,$346.85,3,2026-08-06
ORD-002005,Kimberly Robinson,Home & Kitchen,849.02,4,2026-07-12
ORD-002006,Sean Blake,Books,$88.01,3,2026-04-20
ORD-002007,Gina Moore,Electronics,664.65,2,2026-08-15
ORD-002008,Brandon Davis,Books,639.33,2,2026-08-31
ORD-002009,Dennis Williams,Electronics,$613.04,2,2026-06-17
ORD-002010,Valerie Gray,Beauty,227.42,1,2026-07-05
ORD-002011,  Mark Mcclure  ,Home & Kitchen,$407.15,5,2026-05-29
ORD-002012,Michele Williams,Books,401.68,3,2026-05-03
ORD-002013,Victoria Wyatt,Beauty,270.11,4,2026-09-04
ORD-002014,Donald Reid,Clothing,$514.43,1,2026-05-29
ORD-002015,  Henry Santiago  ,Books,600.44,4,2026-08-03
ORD-002016,Maria Lynch,Electronics,$683.48,3,2026-04-22
ORD-002017,Danielle Ford,Home & Kitchen,440.42,3,2026-05-11
ORD-002018,Margaret Hawkins DDS,Beauty,913.5,5,2026-08-30
ORD-002019,  Amy Underwood  ,Clothing,543.99,1,2026-08-23
ORD-002020,Derek Clark,Electronics,929.81,3,2026-07-08
ORD-002021,Emily Rios,Beauty,$947.48,1,2026-06-04
ORD-002022,Maria Thomas,Clothing,137.11,3,2026-04-16
ORD-002023,Justin Baker,Clothing,929.62,3,2026-07-11
ORD-002024,Kevin Cox,Home & Kitchen,443.72,2,2026-04-15
ORD-002025,  Ann Williams  ,Beauty,$237.81,1,2026-04-10
ORD-002026,Christopher Becker,Home & Kitchen,$80.15,2,2026-07-13
ORD-002027,James Ferrell,Beauty,$580.45,4,2026-06-30
ORD-002028,  Juan Dunlap  ,Books,360.75,1,2026-07-30
ORD-002029,Melanie Herrera,Electronics,70.01,1,2026-05-10
ORD-002030,  Gina Carter  ,Books,$148.78,1,2026-04-19
ORD-002031,Troy Liu,Beauty,106.93,1,2026-05-10
ORD-002032,Pamela Romero,Clothing,174.65,4,2026-04-09
ORD-002033,  Elizabeth Fowler  ,Electronics,$985.46,4,2026-07-16
ORD-002034,James Martin,Beauty,665.25,2,2026-08-18
ORD-002035,Tamara George,Beauty,70.35,4,2026-06-22
ORD-002036,Timothy Koch,Clothing,66.31,1,2026-08-28
ORD-002037,Cynthia Allen,Clothing,409.74,5,2026-07-08
ORD-002038,Angelica Tucker,Books,660.8,3,2026-04-02
ORD-002039,Kim Martinez,Clothing,$272.96,4,2026-07-26
ORD-002040,Joshua Baker,Electronics,19.22,1,2026-09-05
ORD-002041,Tracey Hickman,Home & Kitchen,141.13,2,2026-08-13
ORD-002042,  Christina Collins  ,Beauty,706.5,5,2026-07-28
ORD-001674,Jessica Holmes,Electronics,$939.54,1,2026-04-12
ORD-002044,  Austin Smith  ,Home & Kitchen,608.78,3,2026-07-05
ORD-002045,Daniel Jones,Electronics,101.38,1,2026-07-20
ORD-002046,  Austin Johnson  ,Home & Kitchen,169.97,5,2026-05-23
ORD-000155,David Caldwell,Clothing,550.13,2,2026-04-30
ORD-002048,  Miranda Khan  ,Home & Kitchen,899.99,3,2026-07-09
ORD-002049,Richard Aguirre,Electronics,360.14,5,2026-04-25
ORD-002050,Matthew Gomez,Clothing,865.96,4,2026-06-07
ORD-001509,Nicholas Nunez,Books,804.21,3,2026-07-23
ORD-002052,James Morgan,Books,873.45,4,2026-09-03
ORD-002053,Corey Herrera,Clothing,230.69,3,2026-04-16
ORD-002054,Donald Wright,Home & Kitchen,357.63,5,2026-09-15
ORD-002055,  Robert Chase  ,Home & Kitchen,186.78,1,2026-04-08
ORD-002056,Zachary Huff,Home & Kitchen,442.03,5,2026-04-07
ORD-002057,  Sarah Martin  ,Books,11.67,2,2026-06-22
ORD-002058,  Dr. Steven Martin  ,Home & Kitchen,626.92,3,2026-03-20
ORD-002059,Mrs. Rachel Gibson,Home & Kitchen,$408.38,4,2026-06-10
ORD-002060,Monica Logan,Clothing,619.36,1,2026-07-26
ORD-002061,Brittney Phillips,Beauty,610.59,2,2026-03-31
ORD-002062,Kimberly Adkins,Clothing,$662.26,5,2026-03-31
ORD-002063,John Calhoun,Clothing,$676.07,1,2026-07-01
ORD-000974,Tyler Miller,Electronics,460.86,4,2026-04-25
ORD-002065,Barry Hensley,Electronics,893.73,4,2026-06-06
ORD-002066,Steve Sanchez,Beauty,469.9,1,2026-07-13
ORD-002067,Bradley Sandoval,Beauty,988.01,4,2026-07-07
ORD-002068,Taylor Harris,Beauty,432.47,2,2026-08-06
ORD-002069,Derek Anderson,Home & Kitchen,754.26,5,2026-07-23
ORD-002070,Eugene Walton,Books,$86.71,3,2026-04-03
ORD-002071,  Marc Hart  ,Clothing,238.95,1,2026-04-08
ORD-002072,Daniel Baker,Books,$421.62,5,2026-05-26
ORD-002073,  Sherry Wood  ,Beauty,$386.58,4,2026-04-19
ORD-002074,Joshua Turner,Books,542.84,2,2026-08-23
ORD-002075,Aimee Montoya,Books,38.73,4,2026-05-17
ORD-002076,Ashley Humphrey,Clothing,980.91,5,2026-05-10
ORD-002077,  Brian Tran  ,Books,144.34,4,2026-05-11
ORD-002078,Daniel Cooper,Home & Kitchen,763.62,4,2026-07-31
ORD-002079,  Deborah Freeman  ,Electronics,$751.53,2,2026-09-11
ORD-002080,Amber Walters,Electronics,756.69,1,2026-08-28
ORD-002081,Aaron Wise,Books,672.76,3,2026-07-21
ORD-002082,  Candice Ramos  ,Beauty,964.1,2,2026-08-04
ORD-002083,  Adam Jones  ,Electronics,929.6,4,2026-09-07
ORD-002084,Brittany Johnson,Electronics,596.18,3,2026-05-30
ORD-002085,Brittany Anderson,Electronics,798.26,5,2026-05-18
ORD-002086,Timothy Stanton,Beauty,$651.07,4,2026-03-27
ORD-002087,Christine Wright,Books,710.24,3,2026-04-08
ORD-002088,Justin Baxter,Books,470.23,3,2026-07-18
ORD-002089,Tammy Young,Electronics,286.14,5,2026-04-20
ORD-002090,Rita Keith,Electronics,499.36,3,2026-03-24
ORD-002091,Tim Patton,Beauty,$704.17,-1,2026-06-07
ORD-002092,Sharon Cochran,Books,$559.62,4,2026-05-10
ORD-002093,  Michael Reyes  ,Home & Kitchen,229.38,5,2026-03-27
ORD-002094,Courtney Velasquez,Home & Kitchen,431.25,4,2026-06-17
ORD-002095,Robert Savage,Electronics,724.07,2,2026-05-02
ORD-002096,Corey Murphy,Home & Kitchen,727.34,3,2026-09-03
ORD-002097,Raymond Bell,Home & Kitchen,$235.21,-1,2026-06-26
ORD-002098,William Herrera,Beauty,299.22,4,2026-03-25
ORD-002099,  Wesley White  ,Home & Kitchen,474.7,1,2026-05-10
ORD-002100,Kyle Reed,Electronics,823.89,1,2026-08-19
ORD-002101,Larry Dixon,Home & Kitchen,$94.33,4,2026-06-02
ORD-002102,Cheryl Williams,Clothing,777.94,3,2026-06-12
ORD-002103,Timothy Ryan,Home & Kitchen,$572.94,1,2026-08-06
ORD-002104,Nancy Gonzalez,Clothing,$272.0,5,2026-06-11
ORD-002105,  Matthew Rivera  ,Books,692.48,3,2026-05-19
ORD-002106,Belinda Mccullough,Books,$80.47,5,2026-06-26
ORD-002107,Jason Powell,Books,$123.63,3,2026-05-16
ORD-002108,  Cheryl Ortega  ,Clothing,794.7,3,2026-06-01
ORD-002109,Stephanie Gilbert,Home & Kitchen,702.74,4,2026-05-17
ORD-002110,Roy Torres,Books,737.19,2,2026-04-29
ORD-002111,Kevin Pena,Beauty,$591.25,3,2026-06-18
ORD-002112,Michael Dixon,Clothing,475.8,2,2026-08-21
ORD-002113,Rebecca Jackson,Books,969.36,3,2026-04-05
ORD-002114,Matthew Harvey,Home & Kitchen,417.53,4,2026-04-07
ORD-002115,Nicole Chambers,Books,$97.18,4,2026-05-02
ORD-002116,Brittany Williams,Electronics,661.08,2,2026-06-20
